Time,Local Time,CO2_1,CO2_2
1720714804.6386747,Thu Jul 11 18:20:04 2024,"3452
","None
"
1720714811.8715541,Thu Jul 11 18:20:11 2024,"3463
","3622
"
1720715045.9093196,Thu Jul 11 18:24:05 2024,"3524
","None
"
1720715166.5895662,Thu Jul 11 18:26:06 2024,"3623
","4057
"
1720715226.130065,Thu Jul 11 18:27:06 2024,"3637
","None
"
1720715285.9921746,Thu Jul 11 18:28:05 2024,"3649
","4199
"
1720715345.2727258,Thu Jul 11 18:29:05 2024,"3697
","None
"
1720715405.894603,Thu Jul 11 18:30:05 2024,"3791
","4346
"
1720715466.4053905,Thu Jul 11 18:31:06 2024,"3799
","None
"
1720715526.2905848,Thu Jul 11 18:32:06 2024,"3807
","4469
"
1720715585.5677736,Thu Jul 11 18:33:05 2024,"3862
","None
"
1720715646.1917315,Thu Jul 11 18:34:06 2024,"3871
","4595
"
1720715706.1941204,Thu Jul 11 18:35:06 2024,"3917
","None
"
1720715766.09173,Thu Jul 11 18:36:06 2024,"3932
","4655
"
1720715825.351081,Thu Jul 11 18:37:05 2024,"4001
","None
"
1720715885.9897323,Thu Jul 11 18:38:05 2024,"4029
","4776
"
1720715945.487142,Thu Jul 11 18:39:05 2024,"4061
","None
"
1720716006.3849266,Thu Jul 11 18:40:06 2024,"4076
","4959
"
1720716065.6394799,Thu Jul 11 18:41:05 2024,"4167
","None
"
1720716126.284434,Thu Jul 11 18:42:06 2024,"4180
","5028
"
1720716186.2536268,Thu Jul 11 18:43:06 2024,"4285
","None
"
1720716246.183637,Thu Jul 11 18:44:06 2024,"4321
","5124
"
1720716305.8923311,Thu Jul 11 18:45:05 2024,"4343
","None
"
1720716366.464717,Thu Jul 11 18:46:06 2024,"4316
","None
"
1720716426.2822742,Thu Jul 11 18:47:06 2024,"4395
","5319
"
1720716485.600768,Thu Jul 11 18:48:05 2024,"4483
","None
"
1720716546.1790788,Thu Jul 11 18:49:06 2024,"4523
","5397
"
1720716605.7299218,Thu Jul 11 18:50:05 2024,"4573
","None
"
1720716666.5753098,Thu Jul 11 18:51:06 2024,"4583
","5469
"
1720716725.8505895,Thu Jul 11 18:52:05 2024,"4636
","None
"
1720716785.4749074,Thu Jul 11 18:53:05 2024,"4701
","5635
"
1720716845.973735,Thu Jul 11 18:54:05 2024,"4714
","None
"
1720716906.3656077,Thu Jul 11 18:55:06 2024,"4747
","5768
"
1720716965.6123948,Thu Jul 11 18:56:05 2024,"4747
","None
"
1720717026.2623246,Thu Jul 11 18:57:06 2024,"4843
","5861
"
1720717085.73163,Thu Jul 11 18:58:05 2024,"4791
","None
"
1720717146.657518,Thu Jul 11 18:59:06 2024,"4878
","5991
"
1720717206.3649356,Thu Jul 11 19:00:06 2024,"4939
","5998
"
1720717265.9168422,Thu Jul 11 19:01:05 2024,"5024
","None
"
1720717326.748831,Thu Jul 11 19:02:06 2024,"5037
","6071
"
1720717386.0560198,Thu Jul 11 19:03:06 2024,"5034
","None
"
1720717445.6599658,Thu Jul 11 19:04:05 2024,"5134
","6275
"
1720717506.1808515,Thu Jul 11 19:05:06 2024,"5158
","None
"
1720717566.0550947,Thu Jul 11 19:06:06 2024,"5223
","6367
"
1720717625.3196754,Thu Jul 11 19:07:05 2024,"5234
","None
"
1720717685.9492674,Thu Jul 11 19:08:05 2024,"5238
","6510
"
1720717746.4366183,Thu Jul 11 19:09:06 2024,"5266
","None
"
1720717806.3386688,Thu Jul 11 19:10:06 2024,"5390
","6572
"
1720717866.057341,Thu Jul 11 19:11:06 2024,"5356
","None
"
1720717925.735672,Thu Jul 11 19:12:05 2024,"5414
","6724
"
1720717986.1853971,Thu Jul 11 19:13:06 2024,"5446
","None
"
1720718046.1299615,Thu Jul 11 19:14:06 2024,"5484
","6829
"
1720718105.8172421,Thu Jul 11 19:15:05 2024,"5507
","None
"
1720718166.5256486,Thu Jul 11 19:16:06 2024,"5633
","7044
"
1720718226.441576,Thu Jul 11 19:17:06 2024,"5658
","None
"
1720718286.4236214,Thu Jul 11 19:18:06 2024,"5665
","7216
"
1720718346.0597634,Thu Jul 11 19:19:06 2024,"5692
","None
"
1720718405.825453,Thu Jul 11 19:20:05 2024,"5764
","7152
"
1720718466.18625,Thu Jul 11 19:21:06 2024,"5841
","None
"
1720718526.2237911,Thu Jul 11 19:22:06 2024,"5836
","7432
"
1720718585.8133357,Thu Jul 11 19:23:05 2024,"5985
","None
"
1720718646.6206477,Thu Jul 11 19:24:06 2024,"5944
","7539
"
1720718705.930134,Thu Jul 11 19:25:05 2024,"5921
","None
"
1720718766.5182304,Thu Jul 11 19:26:06 2024,"6018
","7574
"
1720718826.0596128,Thu Jul 11 19:27:06 2024,"6039
","None
"
1720718885.916074,Thu Jul 11 19:28:05 2024,"6023
","7772
"
1720718946.1718006,Thu Jul 11 19:29:06 2024,"6194
","None
"
1720719005.808759,Thu Jul 11 19:30:05 2024,"6162
","7831
"
1720719066.2990649,Thu Jul 11 19:31:06 2024,"6296
","None
"
1720719126.1998925,Thu Jul 11 19:32:06 2024,"6255
","7985
"
1720719185.4190245,Thu Jul 11 19:33:05 2024,"6360
","None
"
1720719246.09689,Thu Jul 11 19:34:06 2024,"6309
","8080
"
1720719305.533895,Thu Jul 11 19:35:05 2024,"6428
","None
"
1720719366.4884558,Thu Jul 11 19:36:06 2024,"6463
","8182
"
1720719426.1531456,Thu Jul 11 19:37:06 2024,"6524
","None
"
1720719485.8920236,Thu Jul 11 19:38:05 2024,"6539
","8342
"
1720719546.2733247,Thu Jul 11 19:39:06 2024,"6501
","None
"
1720719606.28083,Thu Jul 11 19:40:06 2024,"6550
","8430
"
1720719665.8885796,Thu Jul 11 19:41:05 2024,"6714
","None
"
1720719726.6673942,Thu Jul 11 19:42:06 2024,"6673
","8584
"
1720719786.007282,Thu Jul 11 19:43:06 2024,"6808
","None
"
1720719846.0578039,Thu Jul 11 19:44:06 2024,"6912
","8601
"
1720719905.6276145,Thu Jul 11 19:45:05 2024,"6829
","None
"
1720719966.4421427,Thu Jul 11 19:46:06 2024,"7014
","8916
"
1720720025.7585995,Thu Jul 11 19:47:05 2024,"6936
","None
"
1720720086.3297672,Thu Jul 11 19:48:06 2024,"7055
","8908
"
1720720145.86019,Thu Jul 11 19:49:05 2024,"7121
","None
"
1720720206.7166388,Thu Jul 11 19:50:06 2024,"7081
","9120
"
1720720265.9836476,Thu Jul 11 19:51:05 2024,"7188
","None
"
1720720325.6129618,Thu Jul 11 19:52:05 2024,"7225
","9110
"
