Time,Local Time,CO2_1,CO2_2
1723477146.243875,Mon Aug 12 17:39:06 2024,"261
","1852
"
1723477205.7218676,Mon Aug 12 17:40:05 2024,"263
","None
"
1723477266.430018,Mon Aug 12 17:41:06 2024,"267
","1601
"
1723477325.7564926,Mon Aug 12 17:42:05 2024,"267
","None
"
1723477385.6210225,Mon Aug 12 17:43:05 2024,"270
","1495
"
1723477446.300078,Mon Aug 12 17:44:06 2024,"272
","None
"
1723477505.8055785,Mon Aug 12 17:45:05 2024,"275
","1530
"
1723477566.3307467,Mon Aug 12 17:46:06 2024,"278
","None
"
1723477625.9867105,Mon Aug 12 17:47:05 2024,"278
","1572
"
1723477685.3686564,Mon Aug 12 17:48:05 2024,"284
","None
"
1723477746.1638985,Mon Aug 12 17:49:06 2024,"288
","1666
"
1723477805.440662,Mon Aug 12 17:50:05 2024,"289
","None
"
1723477866.34222,Mon Aug 12 17:51:06 2024,"293
","1705
"
1723477925.9339688,Mon Aug 12 17:52:05 2024,"294
","None
"
1723477985.7071822,Mon Aug 12 17:53:05 2024,"297
","None
"
1723478046.1079378,Mon Aug 12 17:54:06 2024,"229
","1772
"
1723478105.7359774,Mon Aug 12 17:55:05 2024,"300
","None
"
1723478166.2796514,Mon Aug 12 17:56:06 2024,"297
","1803
"
1723478225.7726986,Mon Aug 12 17:57:05 2024,"304
","None
"
1723478286.4505377,Mon Aug 12 17:58:06 2024,"305
","1805
"
1723478345.806649,Mon Aug 12 17:59:05 2024,"309
","None
"
1723478406.1225035,Mon Aug 12 18:00:06 2024,"311
","1803
"
1723478466.3250856,Mon Aug 12 18:01:06 2024,"314
","None
"
1723478525.7958913,Mon Aug 12 18:02:05 2024,"316
","1804
"
1723478586.354973,Mon Aug 12 18:03:06 2024,"316
","None
"
1723478645.9611683,Mon Aug 12 18:04:05 2024,"317
","1814
"
1723478706.3984191,Mon Aug 12 18:05:06 2024,"321
","None
"
1723478766.1276903,Mon Aug 12 18:06:06 2024,"326
","1809
"
1723478825.4327579,Mon Aug 12 18:07:05 2024,"330
","None
"
1723478885.7954204,Mon Aug 12 18:08:05 2024,"327
","1794
"
1723478945.4699128,Mon Aug 12 18:09:05 2024,"326
","None
"
1723479005.9590318,Mon Aug 12 18:10:05 2024,"255
","1797
"
1723479065.4854586,Mon Aug 12 18:11:05 2024,"332
","None
"
1723479126.1207104,Mon Aug 12 18:12:06 2024,"279
","1814
"
1723479185.5281196,Mon Aug 12 18:13:05 2024,"338
","None
"
1723479245.7985997,Mon Aug 12 18:14:05 2024,"252
","None
"
1723479305.862213,Mon Aug 12 18:15:05 2024,"338
","1839
"
1723479366.3216553,Mon Aug 12 18:16:06 2024,"344
","None
"
1723479426.5119991,Mon Aug 12 18:17:06 2024,"348
","1845
"
